title,doi
"Integration of genome wide association studies and co-expression networks reveal","10.1111/nph.17469"
"RRS1 shapes robust root system to enhance drought resistance in rice.","10.1111/nph.18775"
"Plant root mechanisms and their effects on carbon and nutrient accumulation in d","10.1111/nph.19676"
"The heterodimeric transcription factor complex ERF115-PAT1 grants regeneration c","10.1038/nplants.2016.165"
"Spatially resolved transcriptome profiling in model plant species.","10.1038/nplants.2017.61"
"Alternative polyadenylation of mRNA precursors.","10.1038/nrm.2016.116"
"Plant and animal stem cells: similar yet different.","10.1038/nrm3790"
"A quantitative scale of spike initial and pistil development in barley and wheat","10.1093/oxfordjournals.aob.a086434"
"PeCHYR1, a ubiquitin E3 ligase from Populus euphratica, enhances drought toleran","10.1111/pbi.12893"
"The wheat AGL6-like MADS-box gene is a master regulator for floral organ identit","10.1111/pbi.13696"
"Single-cell transcriptome atlas reveals developmental trajectories and a novel m","10.1111/pbi.13891"
"PlantPhoneDB: A manually curated pan-plant database of ligand-receptor pairs inf","10.1111/pbi.13893"
